Time,Open,High,Low,Close,Volume
2019.08.26 00:00,1545.74,1555.21,1524.93,1527.38,127966
2019.08.27 00:00,1527.27,1544.65,1525.63,1542.63,83672
2019.08.28 00:00,1540.96,1546.83,1531.79,1541.01,89182
2019.08.29 00:00,1539.02,1550.3,1519.52,1526.87,107263
2019.08.30 00:00,1527.53,1533.11,1516.93,1520.55,92368
2019.09.02 00:00,1529.39,1533.77,1519.22,1528.96,50614
2019.09.03 00:00,1526.91,1549.68,1521.61,1548.7,100722
2019.09.04 00:00,1546.53,1556.98,1533.78,1552.6,95612
2019.09.05 00:00,1551.44,1552.95,1506.19,1518.89,103092
2019.09.06 00:00,1518.45,1527.81,1502.47,1506.38,109340
2019.09.09 00:00,1503.51,1515.43,1497.54,1498.81,81607
2019.09.10 00:00,1498.32,1500.97,1484.45,1485.77,87411
2019.09.11 00:00,1486.28,1498.23,1485.99,1496.52,66314
2019.09.12 00:00,1496.74,1524.13,1489.16,1498.97,93718
2019.09.13 00:00,1497.62,1508.94,1485.71,1488.55,73329
2019.09.16 00:00,1500.71,1512.09,1495.83,1498.4,84660
2019.09.17 00:00,1498.49,1507.03,1493.39,1501.32,67403
2019.09.18 00:00,1501.47,1511.54,1482.97,1493.24,65272
2019.09.19 00:00,1492.89,1504.45,1488.92,1498.47,74260
2019.09.20 00:00,1499.19,1517.01,1497.89,1516.27,60729
2019.09.23 00:00,1512.63,1526.77,1511.48,1522.12,71616
2019.09.24 00:00,1523.09,1535.63,1515.55,1531.17,77381
2019.09.25 00:00,1533.29,1535.08,1500.4,1503.64,84604
2019.09.26 00:00,1503.66,1512.25,1500.25,1504.56,74798
2019.09.27 00:00,1503.95,1507.34,1486.79,1496.61,87365
2019.09.30 00:00,1496.25,1500.41,1464.43,1472.29,85679
2019.10.01 00:00,1472.93,1487.19,1459.03,1479.38,91422
2019.10.02 00:00,1480.06,1505.02,1474.44,1499.92,90625
2019.10.03 00:00,1498.96,1519.48,1495.76,1504.83,93063
2019.10.04 00:00,1506.04,1515.54,1495.77,1504.5,88317
2019.10.07 00:00,1508.53,1509.25,1487.97,1493.27,86523
2019.10.08 00:00,1493.37,1509.65,1486.81,1505.48,107974
2019.10.09 00:00,1506.45,1512.34,1499.8,1505.42,86218
2019.10.10 00:00,1505.7,1516.98,1491.02,1493.39,115499
2019.10.11 00:00,1494.46,1503.13,1473.93,1487.93,118368
2019.10.14 00:00,1486.43,1497.06,1482.77,1493.03,74909
2019.10.15 00:00,1492.37,1498.53,1477.13,1481,85309
2019.10.16 00:00,1481.09,1491.51,1476.96,1489.52,91869
2019.10.17 00:00,1489.99,1497.31,1483.37,1492.23,81532
2019.10.18 00:00,1491.98,1494.17,1484.81,1489.93,72019
2019.10.21 00:00,1491.65,1495.17,1481.42,1484.06,73746
2019.10.22 00:00,1484.53,1488.93,1480.78,1487.77,69834
2019.10.23 00:00,1487.93,1496.23,1487.62,1491.75,65293
2019.10.24 00:00,1491.33,1503.96,1487.93,1502.9,67974
2019.10.25 00:00,1503.03,1517.93,1500.55,1504.16,76377
2019.10.28 00:00,1503.29,1508.17,1489.93,1492.54,76826
2019.10.29 00:00,1491.81,1494.71,1483.33,1487.9,73054
2019.10.30 00:00,1487.39,1496.52,1481.08,1495.6,74557
2019.10.31 00:00,1495.77,1514.19,1493.89,1512.13,70127
2019.11.01 00:00,1512.49,1516.09,1503.22,1513.9,72696
2019.11.04 00:00,1512.69,1514.77,1504.34,1509.48,60931
2019.11.05 00:00,1508.83,1509.61,1479.31,1483.78,86931
2019.11.06 00:00,1483.71,1494.13,1482.91,1490.14,70392
2019.11.07 00:00,1489.79,1492.21,1460.46,1468.52,100691
2019.11.08 00:00,1468.11,1472.87,1456.12,1458.72,83604
2019.11.11 00:00,1460.22,1466.36,1448.15,1455.65,62464
2019.11.12 00:00,1454.99,1460.32,1445.57,1456.3,88273
2019.11.13 00:00,1457.29,1467,1456.64,1463.26,84024
2019.11.14 00:00,1463.99,1474.55,1461.07,1470.97,79413
2019.11.15 00:00,1471.22,1471.31,1462.37,1467.37,63220
2019.11.18 00:00,1467.85,1473.89,1456.28,1470.78,65688
2019.11.19 00:00,1470.65,1475.23,1464.72,1472.31,70981
2019.11.20 00:00,1473.67,1478.75,1465.88,1471.05,80216
2019.11.21 00:00,1474.9,1475.59,1462.28,1464.32,84627
2019.11.22 00:00,1464.37,1473.18,1461.25,1461.81,69819
